1699264729.27136,703.552,-443.67,-258.67,-0.018,55918.658,-35296.413,-20613.0,-0.838
1699264729.27136,710.442,-398.16,-309.714,0.645,56434.518,-31709.158,-24686.74,1.991
1699264729.27136,713.563,-351.464,-359.44,0.31,56623.749,-27932.901,-28613.77,-0.634
1699264729.272161,710.904,-301.42,-406.585,0.247,56470.018,-23984.289,-32372.55,0.801
1699264729.272161,703.895,-249.196,-451.616,0.016,55935.06,-19888.567,-35926.364,1.539
1699264729.272614,691.847,-196.213,-492.62,-0.543,55005.098,-15671.687,-39250.063,0.059
1699264729.272614,676.944,-141.708,-531.17,0.148,53798.446,-11347.663,-42334.522,-0.516
1699264729.272614,656.7,-87.367,-567.35,-0.778,52241.828,-6958.159,-45151.402,-0.647
1699264729.273404,632.716,-30.792,-599.241,-0.535,50368.274,-2537.483,-47690.552,0.354
1699264729.273404,605.562,25.39,-627.965,-0.068,48186.004,1910.502,-49939.459,-0.97
1699264729.273832,574.988,80.761,-652.266,-0.029,45700.368,6315.511,-51876.677,-0.763
1699264729.273832,539.216,136.02,-672.225,-0.109,42936.514,10669.341,-53495.03,2.552
1699264729.273832,501.049,190.678,-687.983,-0.669,39914.161,15000.069,-54781.504,0.701
1699264729.27464,459.6,243.98,-700.907,-0.211,36638.118,19232.975,-55730.653,1.255
1699264729.27464,415.592,296.046,-708.679,-0.322,33130.763,23351.646,-56331.569,0.432
1699264729.275082,369.061,345.438,-712.158,0.002,29431.073,27323.853,-56605.217,0.675
1699264729.275082,320.096,393.457,-711.24,0.301,25542.725,31140.186,-56574.906,-1.036
1699264729.275082,268.74,439.303,-705.461,0.093,21490.119,34763.916,-56085.811,-0.028
1699264729.275845,215.919,481.982,-695.734,0.009,17316.178,38154.21,-55251.146,0.537
1699264729.275845,162.139,521.332,-681.781,0.063,13036.337,41317.506,-54124.349,1.424
1699264729.276455,106.664,558.428,-663.367,0.114,8674.604,44237.135,-52654.564,1.748
1699264729.276455,51.967,591.4,-640.479,-0.396,4264.429,46876.367,-50862.558,2.213
1699264729.276455,-4.222,620.372,-613.93,-0.289,-157.83,49219.385,-48749.099,0.929
1699264729.277081,-59.793,646.626,-583.095,-0.5,-4539.419,51264.43,-46343.307,1.214
1699264729.277081,-115.157,667.827,-550.849,0.136,-8909.42,52997.513,-43639.004,1.639
1699264729.277589,-169.699,685.64,-512.945,-0.461,-13272.476,54400.526,-40665.197,1.129
1699264729.277589,-223.873,699.051,-472.637,-0.406,-17555.626,55466.24,-37452.476,0.849
1699264729.277589,-276.111,707.848,-428.77,-0.244,-21746.749,56194.618,-33987.373,0.88
1699264729.278411,-327.418,712.858,-383.233,-0.059,-25798.3,56565.756,-30308.555,2.047
1699264729.278411,-376.089,713.753,-335.197,0.108,-29686.648,56642.713,-26435.942,1.574
1699264729.278868,-423.18,709.272,-284.267,-0.284,-33382.135,56317.791,-22382.2,3.73
1699264729.278868,-466.329,699.654,-231.865,-0.197,-36873.044,55606.591,-18196.255,1.504
1699264729.278868,-507.53,687.133,-178.322,0.279,-40144.248,54583.743,-13912.038,1.074
1699264729.279603,-545.257,670.018,-123.886,-0.2,-43159.901,53234.824,-9574.812,1.834
1699264729.279603,-579.947,648.61,-68.88,0.21,-45910.555,51549.139,-5237.945,3.441
1699264729.280194,-610.783,623.992,-13.515,0.306,-48381.159,49548.88,-915.845,0.146
1699264729.280194,-637.568,594.745,42.875,0.338,-50551.44,47244.993,3365.077,0.212
1699264729.280194,-661.082,561.105,98.316,-0.111,-52410.054,44646.602,7624.407,2.012
1699264729.280847,-680.458,524.525,152.725,-0.176,-53945.562,41777.544,11960.845,1.632
1699264729.280847,-695.008,485.35,207.513,-0.083,-55145.765,38654.075,16325.331,1.185
1699264729.281382,-705.309,443.035,259.771,-0.12,-56013.627,35279.662,20602.154,1.056
1699264729.281382,-712.096,398.807,311.304,-0.101,-56524.36,31696.372,24741.919,1.374
1699264729.281382,-714.998,350.456,360.364,-0.166,-56702.401,27924.229,28703.264,2.72
1699264729.282146,-712.318,300.84,407.69,-0.377,-56580.476,23966.988,32506.801,0.932
1699264729.282146,-705.237,248.646,452.287,-0.438,-56020.453,19860.799,36078.614,0.56
1699264729.282582,-694.213,196.077,494.559,-0.507,-55095.727,15644.804,39403.133,0.291
1699264729.282582,-678.782,141.672,533.57,-0.199,-53891.556,11330.328,42494.997,1.296
1699264729.282582,-658.571,86.292,569.488,0.047,-52336.656,6950.771,45326.542,1.66
1699264729.283422,-634.746,30.291,600.888,0.418,-50466.954,2512.668,47859.139,1.314
1699264729.283422,-607.525,-25.234,628.99,0.177,-48283.261,-1899.096,50112.11,-1.115
