"No.","Time","Source","Destination","Protocol","Length","Info","value"
"38","0.008797","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","7392,692546,-545493,-1089,-3315266,50826371,-47178254,601"
"39","0.008797","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-138356,625525,-602534,-1472,-7679008,52648843,-44556093,470"
"40","0.009588","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-262136,576001,-634795,-1741,-12056360,54144265,-41657563,95"
"41","0.009588","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-331092,577269,-608374,-1572,-16365505,55306392,-38509771,-136"
"42","0.010132","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-354787,617269,-535623,-1858,-20590102,56128773,-35109397,169"
"43","0.010132","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-370036,658161,-454416,-1564,-24683761,56595740,-31486408,-1634"
"44","0.010132","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-403373,676792,-390665,-2000,-28620796,56763149,-27674410,-1743"
"45","0.010758","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-452083,671813,-342546,-1522,-32369324,56552195,-23661127,-1516"
"46","0.010758","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-502005,659299,-295260,-1568,-35917782,55952711,-19506313,-400"
"47","0.011367","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-539790,650598,-238029,-1252,-39250451,54998037,-15250584,102"
"48","0.011367","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-564877,649868,-169453,-1940,-42348505,53748239,-10919892,55"
"49","0.011367","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-577334,653019,-91167,-1037,-45177638,52151243,-6576657,-941"
"50","0.012023","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-583649,654473,-9126,-839,-47723106,50244765,-2248711,-7"
"51","0.012023","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-591634,645528,66031,-1671,-49985003,48025023,2046546,-1233"
"52","0.012548","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-614772,614469,121681,-2054,-51927703,45508795,6295756,-658"
"53","0.012548","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-653608,559625,158228,-1524,-53556897,42713138,10610199,-447"
"54","0.012548","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-692862,499987,189214,-1201,-54853127,39666195,14985941,2044"
"55","0.013342","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-711658,451392,235439,-1355,-55809544,36356839,19288322,-195"
"56","0.013342","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-704245,421882,302597,-1929,-56424264,32819487,23479413,836"
"57","0.013818","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-680543,402688,380890,-1698,-56682604,29104800,27492730,87"
"58","0.013818","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-658440,374795,449834,-785,-56665280,25201191,31338522,-220"
"59","0.013818","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-649973,325685,496963,-1114,-56230629,21127795,34979389,-704"
"60","0.014558","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-657476,253474,520677,-1392,-55379453,16942324,38374545,-1396"
"61","0.014558","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-670492,171878,533463,-1514,-54268118,12649916,41529866,-2493"
"62","0.015000","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-671682,98684,551042,-1381,-52808727,8285652,44439838,-406"
"63","0.015000","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-648383,44276,585283,-1438,-51025947,3860419,47059783,2683"
"64","0.015000","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-602426,8390,633981,-1785,-48927239,-568147,49396244,1103"
"65","0.015890","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-551572,-26757,680296,-1991,-46530726,-4953084,51418895,1905"
"66","0.015890","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-512902,-78260,706749,-2029,-43849042,-9344941,53126958,-1056"
"67","0.016261","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-491629,-149051,708077,-2007,-40896592,-13705678,54512758,-2401"
"68","0.016261","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-477494,-228765,695167,-2073,-37687494,-17968239,55563848,-290"
"69","0.016261","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-459084,-305830,678792,-1508,-34251034,-22128170,56264690,-175"
"70","0.016944","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-429599,-372392,666229,-2022,-30599929,-26149984,56626088,-1081"
"71","0.016944","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-386392,-426295,662253,-2095,-26762433,-30018657,56678559,-404"
"72","0.017570","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-331608,-467796,663460,-783,-22766672,-33691967,56326972,-2528"
"73","0.017570","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-273545,-506300,659088,-1176,-18629185,-37152076,55581905,-2290"
"74","0.017570","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-230885,-558361,635059,-1841,-14371907,-40391375,54548210,262"
"75","0.018191","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-208531,-628537,585601,-1874,-10027844,-43373595,53168137,270"
"76","0.018191","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-185377,-694550,531942,-1216,-5617120,-46088978,51462217,489"
"77","0.018719","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-125689,-720397,511726,-676,-1185204,-48519450,49442426,-152"
"78","0.018719","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-10453,-687142,543010,-784,3266579,-50651236,47122191,273"
"79","0.018719","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","135774,-619161,601599,-804,7647993,-52471018,44506556,-776"
"80","0.019530","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","259594,-569212,633681,-1056,11984900,-53967296,41618144,-990"
"81","0.019530","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","327412,-570966,607165,-1190,16299622,-55125879,38477736,-1467"
"82","0.019967","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","349875,-611588,533169,-859,20502648,-55945162,35079736,-1217"
"83","0.019967","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","365997,-653586,451989,-1261,24583150,-56408407,31488101,-1332"
"84","0.019967","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","398878,-670665,388989,-763,28501200,-56570718,27701657,-2237"
"85","0.020757","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","448993,-665275,341352,-587,32263476,-56385661,23713468,1008"
"86","0.020757","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","498620,-652353,293115,-1242,35815251,-55753487,19588180,1071"
"87","0.021212","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","536295,-644110,237198,-1502,39141877,-54806665,15364307,-805"
"88","0.021212","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","561750,-643227,168285,-1783,42227463,-53557204,11034446,-1694"
"89","0.021212","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","574567,-647082,89064,-2372,45063945,-51963303,6647222,-1109"
"90","0.021933","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","579413,-649062,6572,-1836,47609660,-50059171,2207383,-734"
"91","0.021933","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","588698,-640069,-68503,-1903,49866538,-47839761,-2206163,-60"
"92","0.022463","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","612995,-607655,-123078,-1736,51815099,-45321193,-6599478,-231"
"93","0.022463","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","652159,-553418,-158851,-1438,53442161,-42527280,-10996488,105"
"94","0.022463","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","689703,-492956,-190888,-1255,54740424,-39471380,-15323719,-2870"
"95","0.023260","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","708295,-444741,-238414,-1105,55704241,-36170711,-19562850,-1912"
"96","0.023260","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","701208,-416966,-306485,-1303,56323176,-32648260,-23681251,-863"
"97","0.023720","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","676494,-396948,-384002,-1246,56593705,-28914295,-27647385,-545"
"98","0.023720","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","654862,-368430,-452447,-1111,56560680,-25014462,-31455557,1280"
"99","0.023720","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","647595,-318023,-499434,-1223,56121649,-20959438,-35075259,-612"
"100","0.024541","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","655087,-246342,-522684,-1566,55291663,-16768563,-38466617,-722"
"101","0.024541","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","668685,-164959,-533943,-1610,54173764,-12476365,-41619465,860"
"102","0.024968","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","669436,-90977,-552383,-909,52711159,-8104085,-44515336,-66"
"103","0.024968","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","644849,-38280,-587761,-1037,50923737,-3691356,-47134337,-1112"
"104","0.024968","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","597855,-2304,-636656,-1495,48828637,758933,-49467884,-1580"
"105","0.025761","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","546602,32907,-682718,-1065,46429220,5182545,-51493318,-1018"
"106","0.025761","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","508329,84376,-708228,-1073,43741727,9539157,-53201444,395"
"107","0.026219","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","487920,156160,-708758,-756,40788065,13887552,-54583101,-80"
"108","0.026219","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","474613,235151,-694917,-1221,37582652,18156469,-55628928,297"
"109","0.026219","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","454803,312179,-680008,-1256,34135355,22305990,-56330563,20"
"110","0.026945","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","425145,379217,-668274,-856,30488493,26324630,-56678948,2405"
"111","0.026945","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","382554,432411,-664045,-681,26653895,30181489,-56754578,2276"
"112","0.027564","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","326745,473992,-664808,-1867,22643834,33867392,-56398367,612"
"113","0.027564","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","269689,512694,-660857,-1468,18494684,37327577,-55640951,571"
"114","0.027564","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","227622,565191,-636096,-1241,14249039,40553041,-54609666,-1034"
"115","0.028189","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","204970,635290,-586964,-1105,9905223,43547193,-53231187,1465"
"116","0.028189","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","182054,701251,-533109,-1353,5511236,46269524,-51527316,1683"
"117","0.028719","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","122148,726496,-513522,-1237,1077997,48690524,-49506816,2202"
"118","0.028719","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","6914,692152,-545185,-886,-3310053,50823948,-47177901,946"
"119","0.028719","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-139475,625258,-602522,-1628,-7678631,52648711,-44557740,618"
