max_error;SV_AErr_h1;SV_phErr_h1 
1e-06;7.56371171695136e-07;-2.782238697350138
1.123324032978027e-06;6.900324089897936e-09;-2.782091160971177
1.261856883066021e-06;6.903750904285744e-10;-2.782091170057524
1.417474162926805e-06;-2.645681451696191e-09;-2.782091152265623
1.592282793341094e-06;-7.82420972456066e-09;-2.782091141007679
1.788649529057435e-06;-1.071145072639723e-08;-2.782091211252644
2.009233002565046e-06;-1.272300798049741e-08;-2.782091122179034
2.257019719633921e-06;1.736959337916844e-06;-2.782424102377667
2.535364493970111e-06;1.952385823011937e-06;-2.782465121465669
2.848035868435799e-06;-5.090863175460925e-09;-2.782091166135931
3.199267137797385e-06;2.457440312131354e-06;-2.782563041376228
3.593813663804626e-06;2.759275258279459e-06;-2.782621150557642
4.037017258596558e-06;3.096461315799104e-06;-2.782686506723419
4.534878508128582e-06;5.482848619564606e-09;-2.782091113541325
5.094138014816376e-06;3.922701034886344e-06;-2.782842494429965
5.72236765935022e-06;4.402960871230377e-06;-2.782934938918919
6.428073117284319e-06;-7.095277809732181e-09;-2.782091131838736
7.220809018385457e-06;-9.491915253789784e-09;-2.782091006743714
8.111308307896873e-06;6.235891673922467e-06;-2.783287195912838
9.111627561154887e-06;5.000994063308895e-09;-2.782090849999451
1.023531021899027e-05;7.890319585479588e-06;-2.783600121109499
1.149756995397736e-05;8.860898993878763e-06;-2.783786131856083
1.291549665014883e-05;9.949326964742156e-06;-2.783994874439468
1.45082877849594e-05;-9.701380143667393e-09;-2.782090570830095
1.629750834620643e-05;1.25633301395478e-05;-2.784493697825738
1.83073828029537e-05;1.412541969125769e-05;-2.784788961949487
2.056512308348652e-05;1.587250167522924e-05;-2.785121579869937
2.310129700083158e-05;1.783838622149148e-05;-2.785495856551915
2.595024211399737e-05;2.003679891027232e-05;-2.785914015893447
2.915053062825176e-05;2.253655479589334e-05;-2.78638895325365
3.274549162877732e-05;-1.25947950957439e-08;-2.782091045050408
3.678379771828634e-05;6.402317120901557e-09;-2.782089863458542
4.132012400115334e-05;3.19984219783187e-05;-2.788174323891342
4.641588833612782e-05;-5.575848671668382e-09;-2.782090225685014
5.214008287999684e-05;4.046814342806293e-05;-2.789772322108337
5.857020818056674e-05;4.549583769186683e-05;-2.79071495445243
6.579332246575683e-05;5.111255777356938e-05;-2.791765915840774
7.390722033525775e-05;5.753517178819223e-05;-2.792967719092086
8.302175681319735e-05;1.264651050547627e-09;-2.782090645199567
9.326033468832199e-05;7.291003735265811e-05;-2.795822697881884
0.0001047615752789665;-8.024701902975551e-09;-2.782086728542921
0.0001176811952434998;9.230416945915643e-05;-2.799397447532467
0.0001321941148466029;-1.34193571810215e-08;-2.782085993487535
0.0001484968262254465;2.296985490701786e-09;-2.782085993528077
0.0001668100537200059;-1.418451023305067e-09;-2.782084824587163
0.0001873817422860383;-5.128904523310496e-09;-2.782087306554227
0.000210490414451202;-6.93178003885464e-09;-2.782084514038885
0.0002364489412645407;0.000188388787067284;-2.816692535567354
0.0002656087782946686;0.0002133728638065158;-2.821088482640576
0.0002983647240283341;2.296985490701786e-09;-2.782085993528078
0.0003351602650938841;0.0002719184266724017;-2.831217366719155
0.0003764935806792468;0.0003039361967409615;-2.836676581112545
0.0004229242874389499;0.0003444202079696534;-2.843496173309892
0.0004750810162102798;-1.123708004424628e-08;-2.782085993478943
0.0005336699231206307;-1.319511777619908e-08;-2.78206714267625
0.0005994842503189409;2.296985490701786e-09;-2.782085993528077
0.0006734150657750821;0.0005704763492093701;-2.880302341769121
0.000756463327554629;-3.577345086824835e-09;-2.782064743467602
0.0008497534359086438;0.0007272266003792716;-2.904813493870756
0.0009545484566618337;0.0008159178233155817;-2.918448661364089
0.001072267222010323;0.0009277999842203233;-2.935437237291328
0.001204503540258782;2.296985490701786e-09;-2.782085993528078
0.001353047774579806;0.001163043988579027;-2.970760031972281
0.001519911082952933;-3.577345086824835e-09;-2.782064743467602
0.00170735264747069;-8.458252875875871e-09;-2.782027555875982
0.001917910261672489;0.001714559140564065;-3.05434757161672
0.002154434690031884;0.001926825982476954;-3.088270475272359
0.002420128264794381;2.296985490701786e-09;-2.782085993528078
0.00271858824273294;-7.097550325241286e-10;-2.782027555885129
0.003053855508833415;0.002031681494634174;3.074320199615963
0.003430469286314919;-8.46623959827042e-09;-2.78194574335863
0.003853528593710528;0.002067046432109532;2.989083860519341
0.004328761281083057;-1.266048543779874e-08;-2.782027555960138
0.004862601580065354;0.001581094236463576;2.860828667358768
0.005462277217684343;-7.063446494370851e-10;-2.7818912016923
0.006135907273413169;-0.001202614325170992;2.645809087437629
0.006892612104349695;-0.001202614325170992;2.645809087437629
0.007742636826811269;-1.266048543779874e-08;-2.782027555960138
0.008697490026177835;-1.266048543779874e-08;-2.782027555960138
0.009770099572992247;-0.01667336499141303;2.205082628912129
0.01097498765493057;-0.01667336499141303;2.205082628912129
0.01232846739442066;-0.01667336499141303;2.205082628912129
0.01384886371393872;-1.777762681509643e-08;-2.781618495365963
0.01555676143930472;-1.777762681509643e-08;-2.781618495365963
0.01747528400007683;-1.777762681509643e-08;-2.781618495365963
0.01963040650040273;-1.777762681509643e-08;-2.781618495365963
0.02205130739903046;-1.777762681509643e-08;-2.781618495365963
0.02477076355991709;-0.1053966581675825;0.6482139096781123
0.02782559402207126;-0.1053966581675825;0.6482139096781123
0.03125715849688235;-0.1053966581675825;0.6482139096781123
0.03511191734215127;-0.1053966581675825;0.6482139096781123
0.03944206059437656;-0.1053966581675825;0.6482139096781123
0.04430621457583878;-0.1053966581675825;0.6482139096781123
0.04977023564332114;-0.1053966581675825;0.6482139096781123
0.05590810182512223;-0.1053966581675825;0.6482139096781123
0.06280291441834246;-0.1053966581675825;0.6482139096781123
0.07054802310718646;-0.1053966581675825;0.6482139096781123
0.0792482898353917;-0.1053966581675825;0.6482139096781123
0.08902150854450393;-0.1053966581675825;0.6482139096781123
0.1;-0.1053966581675825;0.6482139096781123
