f;FE_ct; SR_ct; WF_ct; MH_ct; WR_ct; SV_ct 
49.9;0.07085800170898438;2.279766082763672;0.03444409370422363;3.600120544433594e-05;0.03499293327331543;39.68273186683655
49.901;0.07532000541687012;2.229651927947998;0.02819299697875977;1.692771911621094e-05;0.02743005752563477;40.38569402694702
49.902;0.07956695556640625;2.259109020233154;0.03314805030822754;7.152557373046875e-06;0.02986907958984375;40.52383589744568
49.903;0.07912302017211914;2.271543979644775;0.03011298179626465;6.914138793945312e-06;0.02844882011413574;41.31848192214966
49.904;0.07877588272094727;2.283890962600708;0.03417801856994629;1.096725463867188e-05;0.03130698204040527;40.7536449432373
49.905;0.07845497131347656;2.266280889511108;0.03095412254333496;6.914138793945312e-06;0.02860689163208008;40.65235114097595
49.906;0.07329487800598145;2.249583005905151;0.03264904022216797;5.960464477539062e-06;0.02923798561096191;40.62370085716248
49.907;0.0665130615234375;2.236423969268799;0.03106212615966797;5.960464477539062e-06;0.02821803092956543;40.43396806716919
49.908;0.07262396812438965;2.347101926803589;0.05791497230529785;6.198883056640625e-05;0.04489302635192871;40.0063841342926
49.909;0.06472492218017578;2.230370998382568;0.0282130241394043;1.811981201171875e-05;0.02746987342834473;40.35867214202881
49.91;0.08143186569213867;2.240095138549805;0.03573489189147949;6.914138793945312e-06;0.0377349853515625;40.25417494773865
49.911;0.08467817306518555;2.209550142288208;0.03536820411682129;5.960464477539062e-06;0.02544999122619629;40.61440491676331
49.912;0.08465218544006348;2.23371410369873;0.03416609764099121;5.960464477539062e-06;0.02918601036071777;40.97266793251038
49.913;0.08140110969543457;2.172729015350342;0.03431105613708496;8.106231689453125e-06;0.03480696678161621;39.84776496887207
49.914;0.08407998085021973;2.262216091156006;0.03694510459899902;8.106231689453125e-06;0.0334479808807373;40.54136395454407
49.915;0.08451604843139648;2.223664045333862;0.03053402900695801;9.059906005859375e-06;0.0254509449005127;40.73073506355286
49.916;0.05486392974853516;2.230077028274536;0.05429387092590332;1.287460327148438e-05;0.04605412483215332;39.90411710739136
49.917;0.06685781478881836;2.224225997924805;0.04151391983032227;1.311302185058594e-05;0.03322100639343262;40.10379695892334
49.918;0.05388498306274414;2.131641864776611;0.03983306884765625;9.775161743164062e-06;0.03670287132263184;39.55020689964294
49.919;0.05139398574829102;2.278902053833008;0.05352687835693359;1.096725463867188e-05;0.03905487060546875;40.10865807533264
49.92;0.02178812026977539;2.192950963973999;0.02085614204406738;5.006790161132812e-06;0.01646208763122559;38.33009219169617
49.921;0.02397799491882324;2.203788995742798;0.02179884910583496;5.006790161132812e-06;0.01650476455688477;38.23116207122803
49.922;0.02168989181518555;2.221184968948364;0.02489209175109863;6.198883056640625e-06;0.01647019386291504;38.24340105056763
49.923;0.02194690704345703;2.225281953811646;0.0204169750213623;5.006790161132812e-06;0.01708006858825684;38.38313698768616
49.924;0.02746105194091797;2.202286958694458;0.02397704124450684;5.006790161132812e-06;0.01648497581481934;38.50885009765625
49.925;0.02447199821472168;2.256777048110962;0.0234379768371582;5.960464477539062e-06;0.02110695838928223;38.15613102912903
49.926;0.0248868465423584;2.24020791053772;0.02354884147644043;6.198883056640625e-06;0.02110719680786133;37.73284482955933
49.927;0.0246579647064209;2.244311094284058;0.02560305595397949;5.006790161132812e-06;0.02043008804321289;37.9591920375824
49.928;0.02900886535644531;2.219192981719971;0.0275871753692627;5.006790161132812e-06;0.02076101303100586;37.96517419815063
