f;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
49.934;-3.33735393320822e-07;1.157453949840459e-05;6.325445056631906e-09;-2.167374563030627e-07;-0.00034863324292711;-0.02072727189422776;0;-1.016483566370267e-17;-0.009290051868358185;NaN;-3.871501944108235e-05;-2.694121390685438;NaN;NaN;2.386459184433587e-08;-4.330412576105835e-07;-0.003228443416878987;-0.04216087261620626;0;8.505854864312543e-18;NaN;NaN;7.974437137579782e-05;0.8943536532587538
49.935;-3.254993520274141e-07;1.1506466737643e-05;-1.248444680967964e-10;4.272172620359893e-09;-0.000348372516668638;-0.02041322787377875;0;-1.769543419544106e-17;-0.009288815723445198;NaN;-4.848660555756279e-05;-2.693856325223575;NaN;NaN;-4.706602468873555e-10;8.535798827701891e-09;-0.003229744394311451;-0.04152235164468212;0;-4.603628628972855e-17;NaN;NaN;9.978575760613562e-05;0.8947353268894205
49.936;-3.175739843319647e-07;1.143841106276966e-05;-6.456706613811036e-09;2.212235352744957e-07;-0.0003481117974069026;-0.02009918367921452;0;-1.063701734435523e-18;-0.009287578220323667;NaN;3.973876139751198e-05;-2.708914125140955;NaN;NaN;-2.435906454323344e-08;4.420045875100223e-07;-0.003231045421167797;-0.040883822126356;0;-3.138445379139737e-16;NaN;NaN;-8.196379679288601e-05;0.8659371149353601
49.937;-3.09952918442491e-07;1.137037189158363e-05;-1.26701409364216e-08;4.341166253151147e-07;-0.0003478510851352423;-0.01978513931069315;0;2.397547236893833e-18;-0.00928633935937595;NaN;2.984254124127617e-05;-2.708649507929739;NaN;NaN;-4.780062005937946e-08;8.673650877516735e-07;-0.003232346497145169;-0.04024528405783556;0;-3.004034878596982e-18;NaN;NaN;-6.15126541505806e-05;0.866321897181618
49.938;-3.026297853425675e-07;1.130234863877533e-05;-1.876514654775008e-08;6.429514710324493e-07;-0.0003475903798456637;-0.01947109476836144;0;-1.730725036970438e-17;-0.009285099141003395;NaN;1.994151004525158e-05;-2.708384886202944;NaN;NaN;-7.079532954312739e-08;1.284617348365103e-06;-0.003233647621940366;-0.03960673743570516;1.387778780781446e-17;8.61522107763271e-17;NaN;NaN;-4.10758285692564e-05;0.8667066030231526
49.939;-2.955982189023487e-07;1.123434073990737e-05;-2.474172444699718e-08;8.477281040937919e-07;-0.0003473296815319493;-0.01915705005237455;0;-1.443872463402191e-17;-0.009283857565592024;NaN;1.003567369450842e-05;-2.708120259963592;NaN;NaN;-9.334319620024623e-08;1.693761424712735e-06;-0.00323494879525027;-0.03896818225656721;0;6.229289861558298e-18;NaN;NaN;-2.065332441400503e-05;0.8670912325451399
49.94;-2.88851848884164e-07;1.116634764475322e-05;-3.059987530029673e-08;1.048446594459987e-06;-0.0003470689901868829;-0.01884300516288758;0;-8.375442882453949e-18;-0.009282614633539965;NaN;1.250380716744104e-07;-2.707855629214713;NaN;NaN;-1.154442274414746e-07;2.094797448926033e-06;-0.003236250016771497;-0.03832961851702422;0;-1.901799343187747e-16;NaN;NaN;-2.451460430902275e-07;0.8674757858326452
49.941;-2.823843121557701e-07;1.10983688008659e-05;-3.633960077298326e-08;1.245107021595291e-06;-0.0003468083058034699;-0.01852896010004994;0;-1.139717301467678e-17;-0.009281370345235462;NaN;-9.790390943620331e-06;-2.707590993959331;NaN;NaN;-1.370984317322632e-07;2.487725572393982e-06;-0.003237551286200721;-0.03769104621366683;0;3.154530551872924e-17;NaN;NaN;2.014870219226028e-05;0.8678602629706433
49.942;-2.017142163301955e-07;7.8429353629339e-06;3.263191561408973e-08;-1.118095462091513e-06;-0.000346547628374827;-0.01821491486401094;0;-6.328017253432263e-18;-0.009280124701073977;NaN;-1.971060747285591e-05;-2.707326354200475;NaN;NaN;1.231125786732568e-07;-2.233952266189017e-06;-0.003238852603234407;-0.0370524653430866;1.387778780781446e-17;2.37977819267554e-16;NaN;NaN;4.052821594761891e-05;0.8682446640440039
49.943;-1.960374467202541e-07;7.785825586914541e-06;2.687248867871972e-08;-9.207551860416373e-07;-0.0003462869578936267;-0.01790086945492826;0;-1.725583971207027e-17;-0.009278877701443533;NaN;-2.963560564051004e-05;-2.707061709941182;NaN;NaN;1.01383568137936e-07;-1.839667107269655e-06;-0.003240153967568896;-0.03641387590189214;0;1.019693762455424e-16;NaN;NaN;6.089339088509449e-05;0.8686289891374813
49.944;-1.906205429058616e-07;7.728730849532184e-06;2.123143971743957e-08;-7.274714274674278e-07;-0.0003460262943532078;-0.01758682387295114;0;-5.130380619881453e-18;-0.009277629346740257;NaN;-3.956537957316986e-05;-2.706797061184487;NaN;NaN;8.010121356483157e-08;-1.453486740592203e-06;-0.003241455378900471;-0.03577527788667494;0;-1.801677205262715e-16;NaN;NaN;8.12442226739013e-05;0.8690132383357373
49.945;-1.854571390902393e-07;7.671650623208848e-06;1.570876584366943e-08;-5.382440480862466e-07;-0.0003457656377464646;-0.01727277811822858;0;-7.332492130363453e-18;-0.009276379637358056;NaN;-4.949992339919884e-05;-2.706532407933424;NaN;NaN;5.926550000756592e-08;-1.075410896762103e-06;-0.003242756836925334;-0.03513667129402706;0;2.078134818706123e-16;NaN;NaN;0.0001015807069901092;0.8693974117233332
49.946;-1.805408778032813e-07;7.614584387916068e-06;1.030446306060639e-08;-3.530728938632701e-07;-0.000345504988066625;-0.01695873219091529;0;8.34745691932372e-19;-0.009275128573688618;NaN;4.018722416532228e-05;-2.7215018217165;NaN;NaN;3.887641081279369e-08;-7.05439275217755e-07;-0.003244058341339534;-0.03449805612055201;0;1.79404346553423e-17;NaN;NaN;-8.285782441662393e-05;0.8407463488226732
49.947;-1.758653902506069e-07;7.557531651158911e-06;5.01852648326917e-09;-1.719577801378312e-07;-0.0003452443453061393;-0.01664468609116592;0;-4.997242811356286e-18;-0.009273876156123295;NaN;3.013489092573707e-05;-2.72123761765486;NaN;NaN;1.893392587160037e-08;-3.435715135879838e-07;-0.003245359891838995;-0.0338594323628534;0;-6.53079138467215e-17;NaN;NaN;-6.212122237561624e-05;0.8411337192739352
49.948;-1.714243174077978e-07;7.500491907563855e-06;-1.490487733235568e-10;5.101494818562027e-09;-0.0003449837094585684;-0.01633063981912651;0;-1.748052675248082e-17;-0.009272622385051443;NaN;2.007756953048556e-05;-2.720973408977183;NaN;NaN;-5.619767429188016e-10;1.019278421224218e-08;-0.003246661488119598;-0.03322080001751791;0;-3.582985853059678e-16;NaN;NaN;-4.139874714086111e-05;0.8415210098221306
49.949;-1.672112948103432e-07;7.443464677070466e-06;-5.198268149264607e-09;1.781051388930129e-07;-0.0003447230805169177;-0.01601659337495435;0;-1.198889634971875e-17;-0.009271367260879293;NaN;1.001526592836477e-05;-2.720709195686384;NaN;NaN;-1.961131966543572e-08;3.558540268245674e-07;-0.003247963129877005;-0.0325821590811556;0;-2.617869120384217e-17;NaN;NaN;-2.069040332279559e-05;0.8419082205551237
