M;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
5.300000000000001;0.003128366482096467;0.003915269403350408;-1.594280263361725e-13;-8.184009514844722e-16;0.0003131994242551173;0.9424664806628433;-6.661338147750939e-16;-1.221245327087673e-15;-0.001212702572533364;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.548239397270891e-13;-1.839487555996237e-15;-1.922762845958659e-05;-1.256075656264781;-1.387778780781446e-16;4.163336342344342e-16;NaN;NaN;-0.0001107490046658444;0.7042891925257936
5.4;0.0006567489179682973;0.006046524778999363;-1.5931700403371e-13;-2.746889928593873e-16;0.0002257871392667976;1.256635040133656;0;2.832267927465654e-18;0.002055887046599425;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.548655730905125e-13;-5.711018356909861e-16;-2.649643789329192e-05;-0.6268843342248777;0;-1.929064191106696e-16;NaN;NaN;-0.0001107490046658444;0.7042891925257936
5.5;2.9857531643529e-05;0.007716428966498601;-1.5931700403371e-13;8.345841642731358e-18;-0.0003248694390290963;1.570796326794896;-1.110223024625157e-16;-9.992007221626411e-16;0.004987562112089838;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.548516953027047e-13;6.377288506940084e-17;4.24291847003766e-07;0.002913040842288925;-1.387778780781446e-17;-4.420227837551723e-15;NaN;NaN;-0.0001107490046658444;0.7042891925257936
5.6;-0.0009323959011152683;0.00577688624070305;-1.592059817312474e-13;-1.377598337644644e-15;0.000268475770311305;-1.256771228272688;0;-1.221245327087672e-15;0.007335047463381539;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.547406730002422e-13;-2.748711382181378e-15;0.0001832957015376196;0.6332613505337109;-9.71445146547012e-17;-2.775557561562894e-16;NaN;NaN;-0.0001107490046658444;0.7042891925257936
5.7;-0.003522329576789218;0.004050530935121088;-1.592059817312474e-13;-2.634020001884269e-15;0.0003517890902009491;-0.9425187353120076;-6.661338147750939e-16;-8.881784197001258e-16;0.008963100519281175;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.546435284855875e-13;-5.01726629876361e-15;0.0005426732661812789;1.263709046665596;-3.608224830031759e-16;-4.579669976578787e-15;NaN;NaN;-0.0001107490046658444;0.7042891925257936
5.800000000000001;-0.003313727820578927;0.003815908281000091;-1.592059817312474e-13;-1.860327334762248e-16;0.0002182625269868677;-0.6283264717215059;0;-3.820206470177284e-18;0.009842714512059869;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.548516953027047e-13;-2.623206877190996e-16;2.196463736971188e-05;-1.256634752589775;0;8.092361437334761e-17;NaN;NaN;-0.0001107490046658444;0.7042891925257936
5.9;-0.0007506623728428252;0.001760565622383137;-1.5931700403371e-13;-2.443742724794232e-15;6.3998517826791e-05;-0.3141598021407199;-3.33066907387547e-16;-7.771561172376099e-16;0.01003397177842147;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.546574062733953e-13;-4.927964749381078e-15;1.945560250639355e-05;-0.6283202849919699;3.05311331771918e-16;-4.163336342344324e-16;NaN;NaN;-0.0001107490046658444;0.7042891925257936
6;6.661338147750939e-16;-3.774758283725532e-15;0;-3.63688291805134e-15;-1.887379141862766e-15;-5.432492331972127e-16;2.220446049250313e-16;-8.465450562766817e-16;0.009661766297639929;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;2.775557561562891e-16;-7.240674565866693e-15;-1.942890293094024e-16;-1.226169163323036e-15;-1.387778780781446e-16;-4.09394740330527e-15;NaN;NaN;-0.0001107490046658444;0.7042891925257936
6.1;0.0006886998626689511;0.001576599569772519;-1.5931700403371e-13;-3.067934695172205e-15;6.058573906186915e-05;0.3141595525419363;-5.551115123125783e-16;-1.054711873393899e-15;0.008888553662812271;NaN;5.401873275756586e-05;-2.78975132509998;NaN;NaN;-2.546296506977797e-13;-6.260167148062077e-15;2.742643809873491e-05;0.6282981974792877;-1.387778780781446e-17;-1.249000902703301e-15;NaN;NaN;-0.0001107490046658444;0.7042891925257936
6.2;0.002815821953335407;0.003115158564697129;-1.592059817312474e-13;1.084262252838986e-17;0.0002057569003512949;0.6283194928104778;0;-6.698715877971545e-18;0.007887860517808765;NaN;-5.385097677912398e-05;-2.774090841181002;NaN;NaN;-2.548794508783203e-13;1.550018739707226e-16;4.475286121560784e-05;1.256482418142247;0;9.97061417502241e-17;NaN;NaN;0.0001089582390250143;0.7343748116192194
