M;FE_ct; SR_ct; WF_ct; MH_ct; WR_ct; SV_ct 
3;0.06959199905395508;1.297273874282837;0.02060294151306152;5.960464477539062e-06;0.01858901977539062;19.56949806213379
3.1;0.06957507133483887;1.346121072769165;0.02089405059814453;5.960464477539062e-06;0.01938199996948242;20.44928598403931
3.2;0.06972002983093262;1.412732839584351;0.02082514762878418;5.006790161132812e-06;0.01880502700805664;21.61540818214417
3.3;0.06956601142883301;1.425900936126709;0.02256989479064941;5.960464477539062e-06;0.0203099250793457;22.39449214935303
3.4;0.06959009170532227;1.503319025039673;0.02169299125671387;5.960464477539062e-06;0.01950502395629883;23.58033895492554
3.5;0.06962323188781738;1.518675088882446;0.02453708648681641;5.960464477539062e-06;0.02025294303894043;24.03227305412292
3.6;0.06110191345214844;1.573847055435181;0.02385282516479492;5.960464477539062e-06;0.02136898040771484;25.04989290237427
3.7;0.0696258544921875;1.605118989944458;0.02482485771179199;6.914138793945312e-06;0.02135515213012695;25.83532285690308
3.8;0.06963491439819336;1.63642406463623;0.02543020248413086;5.006790161132812e-06;0.02006292343139648;26.79932904243469
3.9;0.06970500946044922;1.706135988235474;0.02520203590393066;7.152557373046875e-06;0.02047181129455566;28.68207812309265
4;0.06876206398010254;1.752518892288208;0.02451276779174805;6.914138793945312e-06;0.02334880828857422;28.70384097099304
4.1;0.0652320384979248;1.835731983184814;0.02447891235351562;5.006790161132812e-06;0.01959586143493652;29.75532388687134
4.2;0.06521987915039062;1.819357872009277;0.02326083183288574;5.960464477539062e-06;0.02027297019958496;30.67504596710205
4.3;0.06520605087280273;1.848757982254028;0.02190303802490234;5.006790161132812e-06;0.01871800422668457;31.51465487480164
4.4;0.06523013114929199;1.977333068847656;0.02511811256408691;5.960464477539062e-06;0.02201390266418457;32.66080808639526
4.5;0.06518292427062988;1.958250999450684;0.02377486228942871;7.152557373046875e-06;0.02144908905029297;33.41682314872742
4.6;0.06522083282470703;2.071901082992554;0.02607607841491699;5.960464477539062e-06;0.02112793922424316;34.33972692489624
