fs;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
4000;-3.33066907387547e-16;3.552713678800501e-15;0;3.643026781704467e-15;-0.0003314400000001827;5.735258371033065e-16;-1.110223024625157e-16;2.039387170238788e-17;-0.009205570946798081;NaN;NaN;NaN;NaN;NaN;-2.914335439641036e-16;5.147793757755483e-15;-0.003314400000000037;-8.932472153237428e-16;1.110223024625157e-16;-1.24202441240646e-15;NaN;NaN;NaN;NaN
4033.333333333333;-7.446340269945395e-07;1.718160292796256e-05;-5.11886386611593e-08;-3.562019088055918e-12;-0.0003422011511643452;-0.01297734165101903;-1.110223024625157e-16;-5.799456743746577e-17;-0.00925915073046546;NaN;NaN;NaN;NaN;NaN;-8.225689511476286e-08;-2.126260008034828e-10;-0.003260562299026507;-0.02640114810172235;-1.387778780781446e-17;-9.544179192378199e-17;NaN;NaN;NaN;NaN
4066.666666666667;-3.755802461813396e-06;9.42572805806563e-05;-1.271099351884963e-06;4.169495336381623e-05;-0.000352797268690197;-0.02574165598702387;0;-1.083720931729818e-16;-0.0093096053572711;NaN;NaN;NaN;NaN;NaN;-4.691761182326615e-06;8.140906958672513e-05;-0.003207677374411785;-0.05235511806470983;4.163336342344337e-17;3.817977781483181e-16;NaN;NaN;NaN;NaN
4100;0;-3.552713678800501e-15;0;-1.95456877609861e-15;-0.0003314400000002937;2.459399624910399e-16;-1.110223024625157e-16;-7.771561172376097e-16;-0.009205570946799191;NaN;NaN;NaN;NaN;NaN;6.938893903907228e-17;-5.173673975304427e-15;-0.003314399999999981;-1.580015803779796e-15;8.326672684688674e-17;5.551115123125778e-16;NaN;NaN;NaN;NaN
4133.333333333333;-6.918496170404964e-07;1.636053946274529e-05;-4.640855233439822e-08;-2.333974206135477e-12;-0.0003419406649546319;-0.01266337710217057;0;1.260115521657659e-16;-0.009257881521392952;NaN;NaN;NaN;NaN;NaN;-7.45601460155898e-08;-1.798541736608521e-10;-0.003261864060164682;-0.02576258550546426;-1.110223024625157e-16;1.975679907930667e-15;NaN;NaN;NaN;NaN
4166.666666666667;-3.520608164997441e-06;8.982445733574096e-05;-1.209262306844927e-06;3.974315000824345e-05;-0.0003522841496267359;-0.02512386981318992;0;-6.343213056856118e-17;-0.009307215065654906;NaN;NaN;NaN;NaN;NaN;-4.468066989338215e-06;7.764378078664506e-05;-0.003210235092743555;-0.05109927071135653;5.551115123125783e-17;3.356173541974121e-16;NaN;NaN;NaN;NaN
4200;-3.33066907387547e-16;2.664535259100376e-15;-4.346508675201477e-08;1.740238250277566e-11;-0.0003314399999995166;1.306497028401058e-16;0;6.82618669916609e-17;-0.009205570946798081;NaN;NaN;NaN;NaN;NaN;-6.982224876050935e-08;1.724884797405211e-10;-0.003314399999999995;-2.552750989993746e-16;2.775557561562891e-17;-1.910638487374181e-16;NaN;NaN;NaN;NaN
4233.333333333333;-6.439381904366215e-07;1.559692293362502e-05;-4.217358484659428e-08;-5.359333453941453e-12;-0.0003416924915303765;-0.01236424536573072;0;2.767201884008451e-17;-0.00925667102116301;NaN;NaN;NaN;NaN;NaN;-6.774292186928488e-08;-1.604684402674445e-10;-0.003263104359758642;-0.02515418319643452;-6.938893903907228e-17;-7.806806348293657e-17;NaN;NaN;NaN;NaN
4266.666666666667;-3.305597966352103e-06;8.569622986076553e-05;-1.151856639181048e-06;3.792464408903628e-05;-0.0003517951086087212;-0.0245350417307999;0;-3.224853716101261e-17;-0.009304931905399938;NaN;NaN;NaN;NaN;NaN;-4.260006172374098e-06;7.413253025455015e-05;-0.003212673112426248;-0.04990226060087818;-8.326672684688674e-17;5.002873554663566e-16;NaN;NaN;NaN;NaN
4300;-7.771561172376096e-16;8.881784197001252e-16;0;2.753053931766866e-15;-0.0003314399999995166;1.016262822098162e-15;-1.110223024625157e-16;1.346145417358003e-15;-0.00920557094679797;NaN;NaN;NaN;NaN;NaN;-2.636779683484747e-16;5.43566258894255e-15;-0.003314400000000051;2.086671874383221e-15;-3.191891195797325e-16;-1.335737076502146e-15;NaN;NaN;NaN;NaN
4333.333333333333;-6.003501482609863e-07;1.48855181016927e-05;-3.841077400590365e-08;-1.248881026415884e-11;-0.0003414557780321292;-0.0120789195655211;0;2.853094801391898e-16;-0.009255515250437107;NaN;NaN;NaN;NaN;NaN;-6.168716448762268e-08;-1.532500294264013e-10;-0.003264287449954981;-0.02457385369471847;-6.938893903907228e-17;1.175773222053817e-16;NaN;NaN;NaN;NaN
4366.666666666667;-3.108608129243073e-06;8.184542658629113e-05;-1.098467345417298e-06;3.622764575295477e-05;-0.0003513284896581315;-0.02397318229625934;0;3.150591530888261e-16;-0.009302748848581621;NaN;NaN;NaN;NaN;NaN;-4.066156902710061e-06;7.085312744369017e-05;-0.00321499964212614;-0.04876004751325825;-2.775557561562891e-17;9.93364675392419e-16;NaN;NaN;NaN;NaN
4400;-1.110223024625157e-16;3.552713678800501e-15;-3.608084631068209e-08;1.379715213263063e-11;-0.0003314400000001827;1.645995070887301e-16;0;3.01666109454404e-17;-0.009205570946799413;NaN;NaN;NaN;NaN;NaN;-5.793968689549178e-08;1.368492722086523e-10;-0.003314400000000065;-6.123233995736766e-17;-8.326672684688674e-17;1.88472316654262e-16;NaN;NaN;NaN;NaN
4433.333333333333;-5.606086780352015e-07;1.422167491282877e-05;-3.505835599604268e-08;-2.167382886170794e-11;-0.0003412297485855253;-0.01180646547487971;0;-2.917030936397023e-18;-0.009254410581373662;NaN;NaN;NaN;NaN;NaN;-5.629311035371121e-08;-1.534536403179909e-10;-0.00326541719952339;-0.02401969781707898;1.249000902703301e-16;-5.420475046169094e-16;NaN;NaN;NaN;NaN
4466.666666666667;-2.927747956960047e-06;7.824772618647557e-05;-1.048724652341626e-06;3.464155044198177e-05;-0.0003508827852529706;-0.02343648022120223;0;7.307755194041762e-18;-0.009300659467347816;NaN;NaN;NaN;NaN;NaN;-3.885246219956229e-06;6.778557602941036e-05;-0.003217222156867552;-0.0476689528630103;4.163336342344337e-17;-4.825328981400644e-16;NaN;NaN;NaN;NaN
