fs;FE_ct; SR_ct; WF_ct; MH_ct; WR_ct; SV_ct 
4000;0.0485689640045166;0.1301970481872559;0.0248100757598877;5.960464477539062e-06;0.02468299865722656;20.69304299354553
4033.333333333333;0.05594301223754883;0.1731441020965576;0.02286601066589355;9.059906005859375e-06;0.02797603607177734;21.17704200744629
4066.666666666667;0.05626392364501953;0.1756460666656494;0.1201519966125488;6.103515625e-05;0.02260780334472656;17.86189198493958
4100;0.05524682998657227;0.1739788055419922;0.02271008491516113;8.106231689453125e-06;0.02797198295593262;17.92457699775696
4133.333333333333;0.05333495140075684;0.1756200790405273;0.02316904067993164;1.001358032226562e-05;0.02797198295593262;20.50826215744019
4166.666666666667;0.05249190330505371;0.1766531467437744;0.0227198600769043;7.152557373046875e-06;0.02800083160400391;20.50815200805664
4200;0.03546810150146484;0.1355431079864502;0.02471184730529785;5.960464477539062e-06;0.02369499206542969;17.43279600143433
4233.333333333333;0.05516910552978516;0.1855759620666504;0.03124308586120605;1.215934753417969e-05;0.02793502807617188;17.19902110099792
4266.666666666667;0.04858493804931641;0.1820700168609619;0.0294649600982666;5.960464477539062e-06;0.02540111541748047;17.1461489200592
4300;0.0506589412689209;0.1789250373840332;0.03031682968139648;6.198883056640625e-06;0.02539491653442383;17.7408139705658
4333.333333333333;0.04466891288757324;0.1710960865020752;0.02916407585144043;7.867813110351562e-06;0.03078889846801758;16.9575719833374
4366.666666666667;0.0446779727935791;0.1711230278015137;0.02788209915161133;1.001358032226562e-05;0.03079104423522949;16.95432305335999
4400;0.05485796928405762;0.1406879425048828;0.02400398254394531;8.106231689453125e-06;0.0259861946105957;19.76067495346069
4433.333333333333;0.06036210060119629;0.1766879558563232;0.0279839038848877;5.960464477539062e-06;0.04491996765136719;19.71713304519653
4466.666666666667;0.06057000160217285;0.1686789989471436;0.03391194343566895;6.914138793945312e-06;0.05412006378173828;16.84308195114136
4500;0.06040096282958984;0.180692195892334;0.0279850959777832;5.960464477539062e-06;0.04490518569946289;19.66864895820618
4533.333333333333;0.0356290340423584;0.140894889831543;0.02342486381530762;5.960464477539062e-06;0.02057981491088867;19.86539316177368
4566.666666666667;0.07109498977661133;0.1484880447387695;0.02868795394897461;7.867813110351562e-06;0.02946019172668457;16.19698905944824
4600;0.04630112648010254;0.1775898933410645;0.0397489070892334;1.192092895507812e-05;0.04058504104614258;16.19732785224915
4633.333333333333;0.03281307220458984;0.1425681114196777;0.02272605895996094;5.006790161132812e-06;0.02143502235412598;19.7308931350708
4666.666666666667;0.02205896377563477;0.1392810344696045;0.02173805236816406;7.152557373046875e-06;0.01951503753662109;19.09670305252075
4700;0.02650904655456543;0.1413722038269043;0.01929879188537598;5.006790161132812e-06;0.01857399940490723;18.02145290374756
4733.333333333333;0.01673698425292969;0.1341290473937988;0.01904892921447754;8.821487426757812e-06;0.01684284210205078;17.69714713096619
4766.666666666667;0.01650404930114746;0.1336801052093506;0.01852703094482422;7.867813110351562e-06;0.01643705368041992;14.78813409805298
4800;0.0152590274810791;0.1329598426818848;0.01923513412475586;7.152557373046875e-06;0.01636600494384766;14.74451899528503
4833.333333333333;0.02015304565429688;0.1250889301300049;0.0184779167175293;7.867813110351562e-06;0.0181889533996582;14.58454489707947
