f_FFT;A_FFT;f_WFFT;A_WFFT;f_resamplingSVstream;A_resamplingSVstream;f_splineresample;A_splineresample
42;0.03119370718353241;42;8.334464648350207e-07;44.01063829787234;6.902135308271158e-11;42.21428573111139;2.587979323011791e-09
43;0.03614606641468918;43;1.053674326526151e-07;45.05851063829788;7.661905437418418e-11;43.21938777232833;3.055415044658414e-09
44;0.04299133815613907;44;0.001122783058042556;46.1063829787234;8.609499787197003e-11;44.22448981354526;3.7087367071418e-09
45;0.05306523136687221;45;0.03443282751308033;47.15425531914894;9.82890751048757e-11;45.2295918547622;4.687406445161093e-09
46;0.06934743695178994;46;0.2300245476319648;48.20212765957447;1.146234798739377e-10;46.23469389597914;6.316850592541412e-09
47;0.1001149184802287;47;0.6368911981198072;49.25;1.000000000016551;47.23979593719608;9.573398141139232e-09
48;0.1801309985792366;48;0.9478832737619656;50.29787234042553;1.729778456979734e-10;48.24489797841301;1.933908329756588e-08
49;0.9003725198442062;49;1.000277270720257;51.34574468085106;2.335820470944575e-10;49.25000001962995;0.9999999997197742
50;0.3000602818788233;50;0.9942775452702282;52.3936170212766;3.625306846448605e-10;50.25510206084689;1.986973307990112e-08
51;0.1285820413192574;51;0.8276141344845992;53.44148936170212;8.257127837335376e-10;51.26020410206383;9.930502793273637e-09
52;0.08182249752725784;52;0.4194186336089784;54.48936170212766;2.767080221751683e-09;52.26530614328077;6.679985241604637e-09
53;0.06000635368623233;53;0.101648779651031;55.53723404255319;5.106820197257895e-10;53.2704081844977;5.05238201887773e-09
54;0.04737962983863417;54;0.00818168870386324;56.58510638297872;2.795955878559009e-10;54.27551022571464;4.074731028733416e-09
55;0.03914764758539335;55;4.477036456320193e-05;57.63297872340426;1.918705145188131e-10;55.28061226693158;3.422191275111679e-09
56;0.03335702841450607;56;3.341492399371126e-07;58.68085106382978;1.458444130963808e-10;56.28571430814851;2.955476789566952e-09
57;0.02906259657318501;57;1.00807509306395e-06;59.72872340425532;1.176352705613714e-10;57.29081634936546;2.604926365113553e-09
58;0.02575126284768577;58;2.428782084777002e-07;60.77659574468085;9.869992469180694e-11;58.29591839058239;2.331834722626367e-09
59;0.02312044141877851;59;4.795839730753767e-07;61.82446808510638;8.522327669545565e-11;59.30102043179933;2.112974652587528e-09
60;0.02098014104515257;60;8.615230655270219e-07;62.87234042553192;7.524444496220528e-11;60.30612247301627;1.933565027049189e-09
61;0.01920505225105935;61;1.004965927804654e-06;63.92021276595744;6.765023698732575e-11;61.3112245142332;1.783750845503337e-09
62;0.01770918173094853;62;1.017461168397793e-06;64.96808510638297;6.175952180086098e-11;62.31632655545015;1.656708688419801e-09
63;0.0164315553873702;63;9.661739703239446e-07;66.01595744680851;5.712904323568175e-11;63.32142859666708;1.547564747943232e-09
64;0.0153277370909657;64;8.880421503303946e-07;67.06382978723404;5.34529945385289e-11;64.32653063788402;1.452744380950569e-09
65;0.01436457839674877;65;8.022239914578349e-07;68.11170212765957;5.050954935136673e-11;65.33163267910096;1.369566606412227e-09
66;0.01351684896590409;66;7.181489357279106e-07;69.15957446808511;4.812652856415415e-11;66.33673472031789;1.295981634764935e-09
67;0.01276500600607898;67;6.400848167447749e-07;70.20744680851064;4.616172541777662e-11;67.34183676153484;1.230394401243005e-09
68;0.01209367749628185;68;5.696214274079008e-07;71.25531914893617;4.449426282626671e-11;68.34693880275177;1.171546366661012e-09
69;0.01149060620916279;69;5.069999352712539e-07;72.30319148936169;4.311685424171935e-11;69.35204084396871;1.118430548762584e-09
70;0.01094589908069792;70;4.518184816136112e-07;73.35106382978724;4.754917339019613e-11;70.35714288518565;1.070232364451314e-09
71;0.01045148365432145;71;4.034028589890104e-07;74.39893617021276;4.483294926347054e-11;71.36224492640258;1.026285704415306e-09
72;0.01000070788407837;72;3.609975174582186e-07;75.44680851063829;3.817190817792382e-11;72.36734696761953;9.860414532937191e-10
73;0.009588041043424094;73;3.238603041522497e-07;76.49468085106383;3.213769705642409e-11;73.37244900883645;9.490433498643476e-10
74;0.009208847143957484;74;2.913058722101629e-07;77.54255319148936;1.721172908238395e-11;74.3775510500534;9.149113735073386e-10
75;0.008859211152492665;75;2.627220944920948e-07;78.59042553191489;2.241440106751236e-10;75.38265309127034;8.833292877284334e-10
76;0.008535804189934394;76;2.375726597267232e-07;79.63829787234043;1.021062928998483e-10;76.38775513248727;8.540404157201835e-10
77;0.008235777878578774;77;2.153929900971235e-07;80.68617021276596;7.659560696381514e-11;77.39285717370421;8.268569641791987e-10
78;0.007956680740708639;78;1.957832962555208e-07;81.73404255319149;6.99214801786552e-11;78.39795921492114;8.017288329231519e-10
79;0.007696391459832743;79;1.784007756452311e-07;82.78191489361701;6.748115952773096e-11;79.40306125613809;7.793174305301653e-10
80;0.007453065165816948;80;1.629519623667134e-07;83.82978723404256;6.672210906274788e-11;80.40816329735503;7.351834167234418e-10
81;0.007225089872404545;81;1.491856963938205e-07;84.87765957446808;6.68363082583598e-11;81.41326533857196;7.169263561221926e-10
82;0.007011050897063431;82;1.368868865226699e-07;85.92553191489361;6.748674256734338e-11;82.4183673797889;7.105901319315325e-10
83;0.006809701607488816;83;1.258710981276203e-07;86.97340425531915;6.850801213966282e-11;83.42346942100583;6.923543474352236e-10
84;0.006619939220253578;84;1.159799132261589e-07;88.02127659574468;6.981009705621601e-11;84.42857146222278;6.747451661556544e-10
85;0.006440784662309272;85;1.070769882561391e-07;89.06914893617021;7.13402544211933e-11;85.43367350343971;6.579354843595979e-10
86;0.006271365721400532;86;9.9044720140864e-08;90.11702127659575;7.306663611127755e-11;86.43877554465665;6.419190915647898e-10
87;0.006110902875470578;87;9.178143249840934e-08;91.16489361702128;7.496924167520282e-11;87.44387758587359;6.266560745239795e-10
88;0.005958697317060746;88;8.519900794767136e-08;92.21276595744681;7.703615778734097e-11;88.44897962709052;6.12100213672863e-10
89;0.005814120786115393;89;7.922089194966047e-08;93.26063829787233;7.926074220649708e-11;89.45408166830747;5.982042465966732e-10
90;0.005676606900502107;90;7.378041157556982e-08;94.30851063829788;8.163998616520385e-11;90.4591837095244;5.84924143114505e-10
91;0.005545643733093246;91;6.881935790222559e-08;95.3563829787234;8.417373765010585e-11;91.46428575074134;5.722196102114499e-10
92;0.005420767431254267;92;6.428678698812946e-08;96.40425531914893;8.686398577208647e-11;92.46938779195828;5.600522286386788e-10
93;0.005301556711920851;93;6.013800669802115e-08;97.45212765957447;8.9714776061882e-11;93.47448983317521;5.483879295121925e-10
94;0.005187628095268094;94;5.633371704916761e-08;98.5;9.273166726010843e-11;94.47959187439216;5.371949751776578e-10
95;0.005078631763933142;95;5.28392788939384e-08;99.54787234042553;9.592180690555398e-11;95.48469391560909;5.264450275478423e-10
96;0.004974247954098684;96;4.962409361219704e-08;100.5957446808511;9.929305999183046e-11;96.48979595682603;5.161115370240133e-10
97;0.004874183800441576;97;4.66610703217063e-08;101.6436170212766;1.028551280909452e-10;97.49489799804297;5.061711086536575e-10
98;0.004778170569753709;98;4.392617432414465e-08;102.6914893617021;1.066184187004136e-10;98.5000000392599;4.966021593083522e-10
99;0.004685961228524388;99;4.139803478734539e-08;103.7393617021277;1.105936776065678e-10;99.50510208047685;4.873859487574225e-10
100;0.004597328298400506;100;3.905761419562619e-08;104.7872340425532;1.14792008370704e-10;100.5102041216938;4.785051332164202e-10
101;0.004512061960564242;101;3.688791605897689e-08;105.8351063829787;1.192227716473443e-10;101.5153061629107;4.699450696959005e-10
102;0.00442996837598212;102;3.487374045713012e-08;106.8829787234042;1.238920898641162e-10;102.5204082041277;4.616937718627977e-10
103;0.004350868193390047;103;3.300146564399106e-08;107.9308510638298;1.287949696096914e-10;103.5255102453446;4.537412874368598e-10
104;0.004274595221000477;104;3.125886349654412e-08;108.9787234042553;1.339015898679117e-10;104.5306122865615;4.460815568696906e-10
105;0.004200995241357861;105;2.963493748731475e-08;110.0265957446808;1.391097038944279e-10;105.5357143277785;4.387119244803123e-10
106;0.004129924951672193;106;2.811978000852199e-08;111.0744680851064;1.440638489331886e-10;106.5408163689954;4.316367574673345e-10
107;0.004061251014408119;107;2.670445193754722e-08;112.1223404255319;1.469762937439558e-10;107.5459184102124;4.248672901750966e-10
108;0.003994849204980568;108;2.538087227951393e-08;113.1702127659574;9.427777464738749e-11;108.5510204514293;4.184299617749789e-10
109;0.003930603645169896;109;2.414172630787689e-08;114.218085106383;1.798086564888059e-10;109.5561224926462;4.123741251036114e-10
110;0.003868406112367304;110;2.298038107513474e-08;115.2659574468085;1.832113653207385e-10;110.5612245338632;4.067920276373286e-10
111;0.003808155416044726;111;2.189081387479079e-08;116.313829787234;1.90782573756087e-10;111.5663265750801;4.018639624060155e-10
112;0.003749756833940689;112;2.086754727783591e-08;117.3617021276596;1.9995847001633e-10;112.571428616297;3.979495226561879e-10
113;0.003693121601395732;113;1.99055936154508e-08;118.4095744680851;2.118029192355375e-10;113.576530657514;3.955060195536169e-10
114;0.003638166448081953;114;1.90004034322366e-08;119.4574468085106;2.219370675453432e-10;114.5816326987309;6.355505995956968e-10
115;0.003584813177073691;115;1.814782318986777e-08;120.5053191489362;2.346956401798949e-10;115.5867347399478;1.193329943695452e-09
116;0.003532988281809869;116;1.734405376174758e-08;121.5531914893617;2.488654253228058e-10;116.5918367811648;3.227647312715473e-10
117;0.00348262259702629;117;1.658561778355246e-08;122.6010638297872;2.646247269140291e-10;117.5969388223817;3.385801411229358e-10
118;0.003433650980190437;118;1.58693262095155e-08;123.6489361702128;2.822217529953177e-10;118.6020408635987;3.3985100376419e-10
119;0.003386012020371704;119;1.519225311544852e-08;124.6968085106383;3.019739442590814e-10;119.6071429048156;3.377871050731997e-10
120;0.003339647771823864;120;1.455170834671851e-08;125.7446808510638;3.242853066774733e-10;120.6122449460325;3.344970483389871e-10
121;0.003294503509864022;121;1.394521791042952e-08;126.7925531914894;3.496743857598224e-10;121.6173469872495;3.306594488742051e-10
122;0.00325052750689356;122;1.337050183976449e-08;127.8404255319149;3.788163524361432e-10;122.6224490284664;3.265567244439442e-10
123;0.00320767082664477;123;1.28254584875045e-08;128.8882978723404;4.126073209216099e-10;123.6275510696833;3.223259029514859e-10
124;0.003165887134938443;124;1.230814680885417e-08;129.9361702127659;4.522653971526976e-10;124.6326531109003;3.180404940224974e-10
125;0.003125132525421108;125;1.181677339485332e-08;130.9840425531915;4.994974871100017e-10;125.6377551521172;3.13742843447918e-10
126;0.003085365358908426;126;1.134967841221033e-08;132.031914893617;5.567934937735696e-10;126.6428571933342;3.094582483675874e-10
127;0.003046546115104045;127;1.09053249643303e-08;133.0797872340426;6.279964340237067e-10;127.6479592345511;3.052026441494969e-10
128;0.003008637255586771;128;1.048228751889011e-08;134.1276595744681;7.195805674939504e-10;128.653061275768;3.009859316499462e-10
129;0.002971603097071272;129;1.00792434921418e-08;135.1755319148936;8.443053726610242e-10;129.658163316985;2.968144083007224e-10
130;0.002935409694044335;130;9.69496349653141e-09;136.2234042553191;1.037635217565808e-09;130.6632653582019;2.926920596240781e-10
131;0.002900024729968012;131;9.328304487460348e-09;137.2712765957447;1.592293998324e-09;131.6683673994189;2.886212460370513e-10
132;0.002865417416317464;132;8.978202020325225e-09;138.3191489361702;1.113170598092889e-09;132.6734694406358;2.84603367122996e-10
133;0.002831558398792446;133;8.643664152215348e-09;139.3670212765958;1.67155605776215e-09;133.6785714818527;2.806392010367469e-10
134;0.002798419670102679;134;8.323765332761709e-09;140.4148936170213;2.542584593052517e-09;134.6836735230697;2.767288874024107e-10
135;0.002765974488782895;135;8.017641427258012e-09;141.4627659574468;4.744054436122251e-09;135.6887755642866;2.72872690965674e-10
136;0.002734197303543886;136;7.724484092424651e-09;142.5106382978723;2.604903092543664e-08;136.6938776055035;2.690705410899955e-10
137;0.0027030636827108;137;7.443537621212386e-09;143.5585106382979;7.84729227236131e-09;137.6989796467205;2.653227826206719e-10
138;0.00267255024833788;138;7.174093026831724e-09;144.6063829787234;3.471349645385484e-09;138.7040816879374;2.61630373033059e-10
139;0.002642634614628726;139;6.915486350445839e-09;145.6542553191489;2.251216277221913e-09;139.7091837291543;2.579953178401757e-10
140;0.00261329533031942;140;6.667093502372072e-09;146.7021276595745;1.677287308296702e-09;140.7142857703713;2.544223339433491e-10
141;0.002584511824714713;141;6.428328189891547e-09;147.75;1.343561385909346e-09;141.7193878115882;2.509215616391291e-10
142;0.002556264357091759;142;6.19863869225925e-09;148.7978723404255;1.125332381702268e-09;142.7244898528052;2.475188155759601e-10
143;0.002528533969209329;143;5.977504979405175e-09;149.8457446808511;9.71517414380484e-10;143.7295918940221;2.442969825127908e-10
144;0.002501302440684212;144;5.764436668729951e-09;150.8936170212766;8.57303783810519e-10;144.7346939352391;2.417245433745365e-10
145;0.002474552247013572;145;5.558970701836401e-09;151.9414893617021;7.691813260804667e-10;145.739795976456;2.283461970582128e-10
146;0.002448266520040193;146;5.360668382136041e-09;152.9893617021277;6.99162935670107e-10;146.7448980176729;2.296437231443292e-10
147;0.002422429010675026;147;5.16911540718921e-09;154.0372340425532;6.422232272652155e-10;147.7500000588899;2.292141538352735e-10
148;0.002397024053702072;148;4.983917289200496e-09;155.0851063829787;5.950409590994388e-10;148.7551021001068;2.262190252958329e-10
149;0.002372036534509238;149;4.804700865061289e-09;156.1329787234042;5.553332802627201e-10;149.7602041413237;2.231164408434238e-10
150;0.002347451857594502;150;4.631109460896789e-09;157.1808510638298;5.214784217408253e-10;150.7653061825407;2.200022164407961e-10
151;0.002323255916711507;151;4.46280433339982e-09;158.2287234042553;4.92292757891956e-10;151.7704082237576;2.169043827571665e-10
152;0.002299435066526787;152;4.299461306925557e-09;159.2765957446809;4.668913073487683e-10;152.7755102649745;2.13835430424895e-10
153;0.002275976095670166;153;4.140770364509484e-09;160.3244680851064;4.445993562648776e-10;153.7806123061915;2.108015130981491e-10
154;0.002252866201067509;154;3.986434748653412e-09;161.3723404255319;4.248921679569677e-10;154.7857143474084;2.078075142849474e-10
155;0.00223009296344972;155;3.83616829600596e-09;162.4202127659574;4.073555136305957e-10;155.7908163886254;2.048575960648054e-10
156;0.002207644323944119;156;3.689697142260391e-09;163.468085106383;3.916566194345229e-10;156.7959184298423;2.019554050979014e-10
157;0.002185508561653228;157;3.546755091449513e-09;164.5159574468085;3.775242470046634e-10;157.8010204710592;1.991053219134852e-10
158;0.002163674272136364;158;3.407086786256475e-09;165.563829787234;3.647329858953867e-10;158.8061225122762;1.963124853491013e-10
159;0.002142130346709994;159;3.27044249973266e-09;166.6117021276596;3.530914026656883e-10;159.8112245534931;1.935828060455889e-10
160;0.002120865952491263;160;3.136581726848466e-09;167.6595744680851;3.424319673964593e-10;160.8163265947101;1.909237754553154e-10
161;0.002099870513106809;161;3.005268149399516e-09;168.7074468085106;3.326013930551821e-10;161.821428635927;1.883447197407577e-10
162;0.002079133689999137;162;2.876272953830914e-09;169.7553191489362;3.234489117183048e-10;162.8265306771439;1.858571881942235e-10
163;0.002058645364258543;163;2.749370739939538e-09;170.8031914893617;3.148090941082194e-10;163.8316327183609;1.834758669000411e-10
164;0.002038395618916134;164;2.624341787428609e-09;171.8510638297872;3.064691571602664e-10;164.8367347595778;1.812193315156871e-10
165;0.00201837472163185;165;2.500969739965414e-09;172.8989361702127;2.980954325037225e-10;165.8418368007947;1.791118618375926e-10
