f_FFT;A_FFT;f_WFFT;A_WFFT;f_resamplingSVstream;A_resamplingSVstream;f_splineresample;A_splineresample
0;0.007121428255217241;0;1.581555731754705e-07;0;1.585450583210628e-11;0;2.010383495368089e-08
5;0.01462738292331391;5;6.345073456578448e-07;6.15625;5.528634921467569e-11;5.47222884224935;2.80487032668074e-07
10;0.0158083050876801;10;1.132444768436319e-06;12.3125;1.643471503752545e-10;10.9444576844987;5.77807028826642e-07
15;0.01788668026099168;15;6.466492505408655e-07;18.46875;2.873373587571892e-11;16.41668652674805;9.244411442458509e-07
20;0.0210987983288986;20;1.554693961267584e-05;24.625;5.392623031638816e-11;21.8889153689974;1.362371985100107e-06
25;0.02595133925718137;25;0.005802616277871028;30.78125;1.031827383142022e-10;27.36114421124675;1.971959349836001e-06
30;0.03355622212862446;30;0.08379418217334349;36.9375;1.637799589067213e-10;32.8333730534961;2.93663019081243e-06
35;0.04666472056195541;35;0.3777698154550417;43.09375;2.733598212035003e-10;38.30560189574545;4.80227258031214e-06
40;0.0740601039983482;40;0.7941708425590156;49.25;1.000000000286141;43.7778307379948;1.029203751598212e-05
45;0.1659777750843432;45;0.9895999744335716;55.40625;2.889900484445426e-09;49.25005958024415;1.000000553650686
50;0.9673905932936082;50;1.000128515043323;61.5625;5.141186035396026e-10;54.7222884224935;1.140401411102643e-05
55;0.1295992976035664;55;0.9623714576523591;67.71875;3.502316957078098e-10;60.19451726474285;5.92528426071483e-06
60;0.07109042842950083;60;0.6789783568913759;73.875;3.121857481005665e-10;65.66674610699219;4.078240800261233e-06
65;0.04968636795845697;65;0.2635877168773835;80.03125;2.355793068812895e-10;71.13897494924154;3.140608515299725e-06
70;0.03856386988235792;70;0.04382426335657994;86.1875;3.130681020781725e-10;76.61120379149089;2.567668794033282e-06
75;0.03173450258924014;75;0.001776229111785543;92.34375;3.800981675997942e-10;82.08343263374024;2.177669544099486e-06
80;0.02710537982221983;80;9.737941288582811e-07;98.5;4.59693530513525e-10;87.5556614759896;1.892586743112154e-06
85;0.02375479010022079;85;3.761810869308381e-07;104.65625;5.605009385783449e-10;93.02789031823895;1.673308609291766e-06
90;0.02121356959063916;90;4.284404190661857e-07;110.8125;6.506494478673216e-10;98.5001191604883;1.498026053774612e-06
95;0.01921774759700818;95;1.774327314709742e-07;116.96875;1.028456560629357e-09;103.9723480027376;1.353585659906397e-06
100;0.01760743641877332;100;5.127023092329871e-07;123.125;1.409444518073045e-09;109.444576844987;1.231556624798056e-06
105;0.01628014576401358;105;6.77859702621635e-07;129.28125;2.175955764480536e-09;114.9168056872363;1.126261952471475e-06
110;0.0151671619396659;110;7.238591232873906e-07;135.4375;4.531022396119129e-09;120.3890345294857;1.033716138085222e-06
115;0.01422071179986327;115;7.074121147630083e-07;141.59375;2.626778204116286e-08;125.861263371735;9.510158778800345e-07
120;0.01340657521554397;120;6.622961227673062e-07;147.75;6.697372996938891e-09;131.3334922139844;8.759719888855872e-07
125;0.01269962836061366;125;6.066779158891047e-07;153.90625;3.235998958655195e-09;136.8057210562338;8.068764284988386e-07
130;0.01208104784396502;130;5.498153477832598e-07;160.0625;2.247650978494577e-09;142.2779498984831;7.42347956451718e-07
135;0.0115364986574693;135;4.961584886998137e-07;166.21875;1.794539980088986e-09;147.7501787407325;6.812246982530735e-07
140;0.01105492790369323;140;4.476367375778226e-07;172.375;1.554520544251887e-09;153.2224075829818;6.224847118678543e-07
145;0.01062774489659296;145;4.04895061608316e-07;178.53125;1.350439236110815e-09;158.6946364252312;5.651824706373776e-07
